ID_Estudiante,Logica_y_Programacion,Estructuras_de_Datos,Bases_de_Datos,Ingenieria_de_Software,Sistemas_Operativos,Redes_de_Computadores,Machine_Learning,Simulacion_de_Sistemas,Estadistica_Inferencial,Calculo_Diferencial,Fisica_Mecanica,Arquitectura_de_Computadores
4652737,2.4,4.8,3.0,2.8,3.5,5.0,3.8,4.3,3.1,3.6,2.6,3.9
3369565,3.8,3.4,4.2,4.6,3.7,2.7,3.2,3.7,4.0,4.4,3.5,3.2
3058559,3.4,3.6,2.4,4.4,3.5,5.0,3.5,4.9,3.1,4.0,4.1,1.7
6324116,3.6,2.7,3.3,2.7,4.6,4.5,4.6,2.8,3.1,3.1,3.6,4.9
9250846,3.0,3.9,3.8,3.8,4.5,3.7,4.2,3.6,2.8,3.0,4.1,3.6
9829722,2.1,2.7,4.3,2.9,5.0,3.5,3.2,3.7,4.0,4.4,2.0,3.8
4362492,4.4,3.1,3.4,4.1,3.3,2.5,4.0,3.0,2.6,3.7,5.0,3.3
7976576,2.4,2.7,4.9,4.2,3.7,4.5,4.3,3.5,5.0,3.0,3.2,4.0
2593630,4.6,3.7,4.6,3.3,4.9,4.3,4.5,4.3,3.1,2.7,2.9,2.9
4358727,3.3,3.7,3.7,2.8,3.9,4.5,3.7,4.9,4.1,3.0,2.6,3.1
1543431,3.2,3.2,3.1,4.6,3.5,3.0,2.7,3.5,3.7,3.6,3.3,3.6
4052691,4.1,2.9,4.0,2.1,3.9,4.0,3.6,3.7,4.3,2.9,4.1,2.9
9516016,4.4,3.6,3.6,4.0,5.0,3.8,1.9,3.3,4.2,3.3,3.6,2.5
2876409,2.3,4.4,2.9,1.9,3.8,4.3,4.8,1.5,3.5,3.0,3.7,4.2
7807585,3.7,3.0,3.4,3.4,4.5,3.1,2.2,3.2,3.5,3.0,2.4,2.9
6880580,3.6,3.3,5.0,4.7,2.5,2.9,4.0,4.0,3.2,3.7,3.0,4.3
6816988,4.5,2.3,1.9,2.3,3.8,1.9,3.5,2.8,3.1,4.1,2.4,3.9
6083236,4.3,3.4,4.2,3.5,3.4,3.8,2.8,4.5,2.0,3.9,3.9,4.8
3521889,3.4,3.6,4.6,4.2,4.4,3.1,3.2,3.2,2.6,4.2,1.5,3.4
7018737,3.9,2.4,3.1,2.6,3.5,4.4,3.2,4.7,3.3,4.2,3.9,3.5
3032837,3.0,2.5,3.5,4.2,4.1,1.3,3.4,3.9,2.5,3.2,2.8,3.4
3925785,3.6,2.9,2.3,3.5,4.8,3.6,5.0,3.9,4.2,3.6,2.5,3.4
3553877,2.5,3.3,3.4,2.6,4.1,5.0,3.9,2.4,3.9,3.0,2.6,1.1
9667170,3.6,3.4,3.7,1.8,3.7,3.2,3.4,3.5,3.9,3.3,3.2,4.6
6098837,2.6,3.8,3.1,3.3,3.2,3.3,2.1,3.0,3.7,3.1,5.0,1.9
4241139,4.1,5.0,3.9,4.4,3.7,5.0,3.1,4.1,3.2,2.3,5.0,4.2
4518082,3.1,4.3,3.4,4.3,3.2,3.9,5.0,5.0,2.2,3.3,4.5,1.8
2679347,4.6,3.0,3.9,2.4,4.5,3.2,3.1,2.3,3.8,5.0,2.8,4.4
5748056,3.2,3.4,2.2,3.3,3.4,2.7,3.9,3.8,2.4,3.2,3.2,3.6
2266085,2.9,4.4,4.6,2.7,3.5,2.3,3.6,4.1,4.6,3.4,3.9,3.0
7774721,3.7,2.8,5.0,2.7,2.1,2.9,3.0,3.5,3.1,3.0,4.6,3.1
6187993,4.0,3.2,3.1,2.3,3.3,2.8,2.8,3.2,3.8,1.6,2.4,3.4
3014444,3.9,3.8,4.7,4.3,3.5,3.6,3.3,4.1,2.4,3.6,4.0,3.0
3799601,4.0,4.5,4.6,3.1,2.0,3.9,3.0,4.5,1.8,3.3,3.6,3.2
7211422,3.8,2.9,3.4,4.1,3.6,3.8,3.6,3.7,4.9,5.0,2.0,4.1
2457665,2.1,3.4,4.2,2.4,3.3,4.3,2.8,3.6,5.0,2.3,1.5,3.6
4137764,4.7,2.4,3.9,3.5,3.8,3.7,4.3,2.7,2.9,4.4,2.7,2.6
9939029,4.4,3.0,4.7,4.2,3.5,3.9,3.9,3.8,4.1,4.3,2.7,3.6
2028779,5.0,4.2,4.5,4.1,4.0,3.0,4.1,2.3,4.5,3.0,3.6,4.1
6385537,3.0,2.7,4.1,3.1,4.1,3.1,4.1,4.1,2.9,4.1,4.1,4.5
5559028,2.4,4.6,3.6,3.4,2.6,3.0,3.2,3.9,4.6,2.8,2.1,4.2
3491657,2.2,3.0,4.7,4.0,3.1,4.0,3.8,3.4,3.6,2.5,4.5,3.0
4489213,4.6,3.9,4.0,4.4,4.6,3.3,2.8,3.0,3.8,4.3,3.6,3.9
6149796,2.8,4.7,3.1,4.0,4.0,2.4,3.5,2.5,4.0,3.9,3.5,2.5
6404619,4.3,3.0,3.4,3.3,3.8,4.3,3.1,4.2,2.8,3.7,3.9,2.8
5575233,4.1,4.2,5.0,4.4,3.8,2.3,2.3,1.2,3.5,2.6,3.5,4.1
7964242,3.8,2.3,4.0,3.5,1.4,3.3,4.9,4.5,4.8,2.3,4.6,3.0
9418877,3.6,4.3,4.6,3.0,3.4,2.8,4.1,2.9,2.7,3.5,3.3,5.0
3469617,1.4,3.6,4.2,4.7,2.8,2.5,4.4,2.3,2.9,3.3,4.1,2.9
1246174,3.8,2.4,2.7,2.5,2.0,2.9,3.9,3.4,3.9,2.9,3.2,3.1
6650675,4.2,3.4,2.8,3.4,2.9,3.5,4.3,4.8,3.2,4.4,3.5,2.7
5462613,3.0,2.1,2.0,2.8,3.0,3.8,3.0,1.6,3.8,3.4,3.1,3.7
9623042,3.4,4.3,4.7,3.6,4.6,4.3,3.1,3.8,3.2,4.2,0.9,2.7
8955488,3.5,3.4,4.2,4.5,3.2,4.1,3.6,3.4,2.3,3.3,2.8,3.3
2833048,4.3,3.1,3.8,4.4,3.6,3.8,3.4,2.5,3.5,2.1,3.1,2.7
4561312,3.7,4.8,3.6,2.3,2.5,3.1,4.1,4.0,4.5,3.6,5.0,4.2
4429021,3.4,3.8,3.2,2.8,4.4,3.3,2.8,4.6,3.2,3.5,2.9,4.1
3628496,4.2,3.3,1.6,3.5,3.1,4.3,3.2,4.1,3.8,3.7,2.8,3.1
2727306,3.3,4.0,3.8,4.6,3.4,4.2,3.3,3.6,2.6,3.9,2.6,5.0
6132930,4.1,4.0,3.4,4.9,2.9,2.7,2.8,3.8,4.2,3.7,4.1,3.5
3164418,3.2,2.4,3.3,3.1,2.7,1.7,3.3,3.2,3.9,2.6,2.9,3.1
5708802,3.8,3.7,4.6,3.9,3.1,2.8,3.2,2.0,3.7,3.6,4.4,1.7
6136212,3.8,5.0,3.7,4.0,1.9,3.7,5.0,4.8,2.7,3.8,4.9,2.7
8267351,2.8,3.0,3.2,3.7,3.5,4.7,3.7,4.6,2.6,3.0,3.5,3.1
8222447,4.1,2.5,5.0,4.6,4.4,3.3,3.0,3.2,4.0,4.0,3.2,3.7
5726866,3.8,4.0,3.4,2.3,4.0,4.1,4.1,2.3,3.1,2.7,4.2,2.5
5456541,3.5,4.6,3.4,4.2,4.2,4.1,3.2,2.7,3.3,4.7,4.8,3.5
7809744,3.4,4.2,3.0,2.6,1.7,2.0,4.6,3.8,3.7,3.2,4.6,3.1
5466010,4.3,3.3,4.3,3.7,4.3,3.9,4.3,4.5,3.8,2.8,4.8,4.7
4621303,3.1,4.0,3.4,3.0,3.4,4.3,2.4,4.1,3.2,1.6,3.4,2.6
6545668,4.4,2.7,2.9,4.7,4.1,2.0,3.2,3.3,4.0,2.9,3.8,2.6
9364732,4.3,2.0,3.7,5.0,4.2,4.2,2.4,3.9,2.4,4.5,4.3,3.6
2663445,3.1,2.5,3.2,3.5,3.1,4.6,2.8,4.9,3.1,2.9,4.8,3.4
9054777,4.0,4.4,4.5,4.5,3.7,1.9,2.7,2.9,3.2,4.4,3.9,2.9
8185260,4.7,4.2,3.7,2.2,5.0,3.8,4.1,4.1,2.3,3.0,4.3,3.3
3272714,2.4,4.3,4.5,3.7,3.5,2.0,3.6,2.5,3.4,3.4,2.4,4.9
6195093,3.8,3.1,2.0,1.8,3.2,3.9,4.0,4.2,3.5,5.0,3.4,2.9
7273419,3.9,2.1,3.3,3.2,4.1,3.6,3.8,4.4,1.8,5.0,3.6,3.9
2631411,1.6,3.9,2.4,3.4,2.4,2.7,4.7,3.8,2.5,2.9,3.0,4.0
3853022,4.2,2.5,4.4,4.4,2.1,2.5,4.8,3.9,3.0,2.9,3.9,2.8
1562025,3.5,3.8,4.3,2.2,3.9,3.9,5.0,3.2,3.5,3.1,3.1,5.0
6545807,3.3,3.9,3.9,3.7,1.6,1.2,3.4,3.4,2.0,3.2,3.3,4.3
6654083,3.8,3.1,3.9,3.0,3.0,3.6,4.1,3.8,3.3,2.8,2.7,4.4
7239699,1.9,5.0,4.7,4.1,3.5,4.2,4.2,4.2,3.2,3.6,4.0,1.4
6117791,3.2,4.4,4.2,4.0,3.2,2.3,2.8,3.7,4.2,4.6,2.6,4.7
6183596,3.4,2.8,4.0,3.9,3.2,3.8,3.4,4.3,3.9,4.4,4.1,3.4
3725445,1.8,3.1,3.9,3.3,4.2,3.3,3.5,4.0,4.2,4.1,3.4,2.5
6472232,2.3,3.5,4.0,4.8,3.3,4.5,3.2,2.4,3.5,3.1,3.6,4.3
3882972,2.3,4.0,4.1,5.0,3.6,5.0,3.1,3.0,2.7,4.1,4.0,3.7
5306975,4.1,2.8,3.1,3.5,4.2,2.7,2.6,2.1,4.2,3.4,2.5,3.0
2405846,3.1,3.7,3.2,2.3,2.0,4.0,4.2,2.6,2.9,3.4,4.2,2.7
3116796,4.6,2.0,2.7,2.6,4.5,3.1,4.2,4.2,2.7,4.0,3.1,3.8
6476298,3.3,3.2,5.0,3.8,3.6,2.7,3.9,2.6,4.0,3.4,3.5,3.9
1284134,4.8,3.5,4.1,2.4,3.8,4.2,2.8,4.6,2.6,4.4,4.4,3.4
6399700,2.0,3.6,2.9,2.5,5.0,3.2,2.9,4.1,4.5,4.3,1.4,2.2
6805408,2.9,3.3,3.0,3.1,5.0,2.5,3.9,2.4,3.8,3.0,3.9,3.6
8482125,2.4,3.1,3.4,2.9,2.6,3.5,3.5,4.4,3.4,4.3,2.9,3.3
3035973,3.2,2.6,3.7,2.1,3.3,3.2,2.3,2.5,3.2,2.5,3.9,3.7
7424696,2.7,3.1,3.7,4.6,3.6,3.1,3.1,3.6,3.8,2.8,3.6,3.9
9135787,4.1,4.1,3.5,3.0,2.1,4.1,3.3,3.5,4.5,4.0,3.1,3.7
5625734,3.0,1.7,3.9,4.2,3.7,3.8,4.1,3.0,2.7,3.4,4.8,3.8
3277144,3.9,2.9,2.7,3.0,5.0,2.0,3.4,3.5,3.3,3.4,4.9,3.9
3379238,3.5,3.6,3.9,5.0,3.8,3.6,4.4,2.8,5.0,5.0,3.5,3.0
8759750,3.6,3.7,1.0,3.7,1.9,3.5,4.8,3.7,2.5,3.7,3.4,3.7
8325221,4.3,2.7,3.9,2.8,3.8,3.6,2.4,2.9,2.9,3.6,3.4,3.9
3402937,3.7,3.0,3.2,3.4,3.7,2.5,4.4,3.6,2.3,3.3,4.0,4.7
8112751,2.2,3.9,4.0,4.2,4.1,2.7,4.8,3.0,4.4,3.6,3.7,2.4
1442301,4.3,3.4,3.7,4.1,2.1,1.6,3.1,3.2,3.3,5.0,3.1,2.1
1811117,3.5,3.2,3.6,3.8,3.5,3.2,3.8,4.2,5.0,3.6,4.1,4.2
8001833,3.6,3.5,2.7,3.7,2.8,3.9,3.4,3.7,4.5,3.5,3.1,3.0
3347473,2.1,3.1,2.8,3.4,4.0,3.0,2.9,3.0,3.1,3.3,4.7,4.8
7079344,3.1,3.2,3.8,4.1,3.5,4.6,3.8,3.5,3.9,3.3,2.7,3.2
2956246,3.9,5.0,4.1,3.9,3.5,2.3,3.1,2.5,3.9,3.8,3.8,4.7
7243193,2.6,3.4,2.8,3.2,2.8,2.5,2.8,1.6,3.0,0.7,3.8,3.2
7086188,3.7,2.5,3.1,2.2,3.4,3.1,2.4,3.3,3.3,3.3,4.1,3.3
2252334,3.6,3.8,4.1,2.7,4.2,4.3,3.8,3.5,5.0,2.7,4.5,1.4
7890524,3.6,4.3,3.4,2.8,4.6,5.0,1.9,4.1,4.1,4.5,3.3,3.0
9456901,4.5,5.0,2.3,3.9,3.1,2.8,3.8,3.2,3.1,3.5,3.1,4.2
4626320,3.1,4.2,4.8,1.6,3.0,3.8,3.9,3.2,4.0,2.6,2.9,5.0
9069312,3.8,4.0,3.0,3.8,3.7,4.5,5.0,4.4,4.0,3.8,3.3,3.1
3615504,3.7,3.5,3.1,3.4,3.1,3.9,3.6,2.9,4.4,3.7,3.2,4.9
6253419,3.8,4.9,2.1,2.1,2.4,3.4,4.5,2.7,3.9,4.1,3.6,3.0
5559293,2.8,4.6,4.5,4.6,3.5,2.2,4.0,3.0,2.4,4.0,4.7,1.8
2918518,4.1,2.5,4.6,3.0,4.9,2.9,2.6,2.8,3.3,3.1,3.4,3.5
1304284,4.3,1.9,3.1,4.0,3.7,5.0,3.8,3.6,3.0,3.1,2.5,3.7
7834678,4.6,3.5,4.1,4.4,2.8,3.3,3.7,4.8,3.0,2.9,2.5,2.7
5462197,3.5,2.9,3.2,3.5,3.7,3.3,2.2,3.6,4.8,4.1,3.9,3.9
2549448,3.2,4.0,4.9,3.7,3.4,4.5,2.8,2.4,3.7,3.4,3.1,2.6
2261276,4.1,3.4,3.9,2.9,5.0,3.8,3.5,3.6,4.2,4.1,3.2,2.5
1633615,3.2,4.5,3.7,2.5,4.4,2.1,4.6,2.2,3.5,2.8,4.9,3.8
4526629,3.4,4.9,4.1,3.9,4.4,2.5,4.4,2.7,3.3,3.6,3.1,3.5
1975173,3.9,2.3,4.3,2.7,2.9,3.2,2.8,2.2,2.4,3.0,2.2,3.3
1006027,2.0,4.8,3.0,4.1,3.1,3.3,3.1,3.4,3.3,2.9,4.1,2.2
3504261,3.3,2.8,3.6,4.3,3.4,3.5,5.0,3.8,3.5,2.4,3.3,4.6
8135448,3.0,2.2,3.3,3.0,2.4,3.7,4.0,3.8,3.6,3.2,2.4,2.4
6593585,4.9,2.6,3.3,3.9,1.0,4.1,2.4,3.8,2.3,3.9,3.7,3.5
3687663,3.2,4.1,2.2,3.4,2.0,3.8,2.5,4.7,3.7,3.5,3.1,3.5
9215802,2.0,2.9,3.0,2.7,3.2,3.3,2.8,2.2,2.6,3.6,4.2,2.4
5261276,2.0,2.8,2.8,3.5,4.2,3.5,3.7,3.9,4.6,3.9,2.0,3.1
8980504,4.0,3.9,5.0,2.4,3.7,3.8,2.7,2.4,4.2,2.6,1.9,3.6
7723241,3.2,4.4,3.5,5.0,4.2,4.6,4.6,3.8,3.4,2.9,3.5,3.8
9988196,4.7,4.0,3.9,2.1,3.4,3.3,2.7,4.2,4.2,5.0,3.9,3.1
7071208,3.1,4.8,3.1,4.8,3.2,3.4,2.9,2.7,2.1,4.2,4.1,3.5
8101207,3.0,2.8,4.1,4.4,3.9,2.6,3.1,3.1,4.6,2.9,3.7,3.5
1712561,3.8,3.6,4.7,3.1,3.6,3.5,3.6,3.3,4.3,4.2,4.0,3.4
7875346,3.9,2.5,4.9,3.7,5.0,2.6,3.5,4.6,2.7,2.3,4.2,4.0
7296457,4.0,4.8,5.0,4.1,3.7,3.3,5.0,3.4,2.1,3.1,3.5,4.0
6248885,4.8,5.0,4.1,4.9,2.9,3.9,3.5,3.0,3.2,3.7,2.5,3.5
3273179,5.0,2.8,3.5,3.4,4.9,2.6,4.8,3.2,3.0,2.9,2.6,3.4
3989055,2.9,3.3,3.0,3.8,4.1,2.1,2.8,3.8,3.9,4.2,3.5,4.0
6888083,2.4,2.3,2.6,2.2,2.3,4.0,4.7,4.7,2.3,4.0,3.0,4.9
3102429,3.1,4.1,2.5,3.8,3.1,3.9,3.0,3.7,1.7,3.4,2.8,3.4
7379345,4.5,4.1,3.1,3.4,0.8,4.1,3.1,3.1,3.8,3.7,3.9,2.7
1885820,4.3,3.3,3.9,2.9,3.6,4.2,4.3,3.5,3.2,3.2,3.4,4.0
8757583,3.7,4.8,1.7,3.4,4.6,3.3,4.2,2.9,3.9,2.8,3.0,4.2
6956283,3.0,3.0,5.0,4.4,4.2,4.3,3.7,3.3,2.6,3.4,4.1,2.6
5597217,2.9,3.1,3.5,3.2,3.8,3.3,2.6,2.8,3.0,4.4,3.5,5.0
2652202,3.3,3.2,3.4,4.6,3.1,2.9,3.4,3.0,3.3,2.8,3.8,3.5
7715249,4.1,2.9,2.1,3.1,3.7,4.3,2.8,4.1,4.5,2.9,2.7,4.0
7129519,2.9,2.5,4.7,3.7,3.7,4.5,4.3,3.0,2.7,3.5,3.7,2.5
7541696,3.6,2.7,3.4,2.3,3.7,4.8,2.4,2.6,3.2,4.3,4.4,2.7
3099838,3.2,5.0,3.6,2.9,3.2,3.9,2.8,4.9,3.3,2.1,4.2,4.8
3452176,4.3,3.0,2.3,3.5,3.0,2.5,4.1,4.6,3.6,4.1,5.0,3.1
8423401,4.1,3.5,4.0,3.7,3.2,4.3,3.7,3.4,2.7,4.5,2.3,3.7
